"Sottosistema","Sorgente","Unita","PercorsoEsplicito"
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\DFM\INGLESE\MAINEDIT.PAS","Buttons",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\MAINEDIT.PAS","Buttons",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\UVPEZZI.PAS","Buttons",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\MAIN.PAS","Buttons",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\MAIN.PAS","Buttons",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\MAINST.PAS","Buttons",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\MESSWIN.PAS","Buttons",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\OLDST.PAS","Buttons",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\PROTOTIP.PAS","Buttons",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\TRMAIN.PAS","Buttons",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UCEDIFIC.PAS","Buttons",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\ULDATI10.PAS","Buttons",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UVIDEO.PAS","Buttons",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\INPUTC.PAS","bwcc",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\PROV.PAS","bwcc",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\W_ICART.PAS","bwcc",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\W_INPUTC.PAS","bwcc",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\PROVAUTI.PAS","bwcc",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\KEYENG.PAS","bwcc",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\PRNTESTO.PAS","bwcc",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\PRNWIN.PAS","bwcc",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\W_GEST.PAS","bwcc",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UProvacanali.pas","calcolo",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\3dCAD\Uoggetti.pas","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\CalcoloCan.dpr","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\disperrori.pas","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\formpezzi.pas","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\DFM\INGLESE\MAINEDIT.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\MAINEDIT.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\UPROVA.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\Uprovadim.pas","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\UVPEZZI.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\MAIN.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\pezzi3d\U3dsd.pas","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\Selcodice.dpr","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\Ucompiladcu.pas","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UFDaticalc.pas","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UProvacanali.pas","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\FINS.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\MAIN.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\MAINST.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\MC4EDIT.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\MESSWIN.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\OLDST.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\PRDLL.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\PROTOTIP.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\TRMAIN.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UCEDIFIC.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UFROM.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\ULDATI10.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UMC4F.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UREC.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UTI_DLF.PAS","classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UVIDEO.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UVKEY.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\componenti\kbmmem\bdenew\DbTables.pas","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\3dCAD\Uoggetti.pas","ComCtrls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\formpezzi.pas","ComCtrls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\pezzi3d\U3dsd.pas","ComCtrls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\PRNTESTO.PAS","commdlg",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\3dCAD\Uoggetti.pas","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\formpezzi.pas","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\DFM\INGLESE\MAINEDIT.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\MAINEDIT.PAS","Controls",
