"Sottosistema","Unita","Riferimenti","Classificazione","CandidatiTrovati","PercorsiCandidati","PercorsoEsplicitoEsempio"
"CanaliAria","calcolo","1","Ambigua: piu copie omonime","9","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\distribuzione\calcolo.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\tamponamenti\Calcolo.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\Calcolo.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\grafo\GTUBI\CALCOLO.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\CARICHI\tamponamenti\Calcolo.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\CARICHI\tamponamenti\Calcolo.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\grafo\GTUBI\CALCOLO.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\CARICHI\tamponamenti\Calcolo.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\grafo\GTUBI\CALCOLO.PAS",
"CanaliAria","Copialibreriagenerale","5","Ambigua: piu copie omonime","10","C:\DOCUMENTI\sd\sorgenti\bm-sd\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\estivo\codeg\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\calcoli\estivo13\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10 allineamento con emanuela\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas",
"CanaliAria","definiz","147","Ambigua: piu copie omonime","16","C:\DOCUMENTI\sd\sorgenti\bm-sd\estivo\DEFINIZ.PAS | C:\DOCUMENTI\sd\sorgenti\bm-sd\estivo\codeg\DEFINIZ.PAS | C:\DOCUMENTI\sd\sorgenti\bm-sd\estivo_13\DEFINIZ.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\definiz.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\grafo\GTUBI\DEFINIZ.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\INPGRAF\DEFINIZ.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\INPGRAF\TUBISPIR\DEFINIZ.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\Tubi\definiz.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\definiz.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\grafo\GTUBI\DEFINIZ.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\INPGRAF\DEFINIZ.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\INPGRAF\TUBISPIR\DEFINIZ.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\definiz.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\grafo\GTUBI\DEFINIZ.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\INPGRAF\DEFINIZ.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\INPGRAF\TUBISPIR\DEFINIZ.PAS",
"CanaliAria","definizcan","1","Ambigua: piu copie omonime","2","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\definizcan.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\DEFINIZCAN.PAS",
"CanaliAria","defuti","17","Ambigua: piu copie omonime","8","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\DEFUTI.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\DEFUTI.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\CONVERTI\DEFUTI.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\grafo\GTUBI\DEFUTI.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\CONVERTI\DEFUTI.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\grafo\GTUBI\DEFUTI.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\CONVERTI\DEFUTI.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\grafo\GTUBI\DEFUTI.PAS",
"CanaliAria","demo","4","Ambigua: piu copie omonime","3","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\DEMO.PAS | C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\DEMO.PAS | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\DemosLCL\meshes\actor\demo.pas",
"CanaliAria","Enter","1","Ambigua: piu copie omonime","11","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\ENTER.PAS | C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\ENTER.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\ENTER.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\INPGRAF\ENTER.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\INPGRAF\TUBISPIR\ENTER.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\ENTER.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\INPGRAF\ENTER.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\INPGRAF\TUBISPIR\ENTER.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\ENTER.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\INPGRAF\ENTER.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\INPGRAF\TUBISPIR\ENTER.PAS",
"CanaliAria","ExceptionLog","1","Ambigua: piu copie omonime","8","C:\DOCUMENTI\bmsistemi\drivep\Comp\Source\EurekaLog 4\Delphi6\ExceptionLog.pas | C:\DOCUMENTI\bmsistemi\drivep\Comp\Source\EurekaLog 4\Delphi9\ExceptionLog.pas | C:\DOCUMENTI\bmsistemi\drivep\Comp\Source\EurekaLog 4\EurekaLog 4\Delphi6\ExceptionLog.pas | C:\DOCUMENTI\bmsistemi\drivep\Comp\Source\EurekaLog 4\EurekaLog 4\Delphi9\ExceptionLog.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\Comp\Source\EurekaLog 4\Delphi6\ExceptionLog.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\Comp\Source\EurekaLog 4\Delphi9\ExceptionLog.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\Comp\Source\EurekaLog 4\EurekaLog 4\Delphi6\ExceptionLog.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\Comp\Source\EurekaLog 4\EurekaLog 4\Delphi9\ExceptionLog.pas",
"CanaliAria","funzdim","1","Ambigua: piu copie omonime","2","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\funzdim.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\FUNZDIM.PAS",
"CanaliAria","gestudb","1","Ambigua: piu copie omonime","4","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\distribuzione\libreriedatabase\gestudb.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\libreriedatabase\gestudb.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\libreriedatabase\gestudb.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\libreriedatabase\gestudb.pas",
