"GruppoContenuto","FileRaccolta","FileOriginale","Dimensione","DataOriginale","SHA256"
"22","origine\bmsistemi\drivep\prjs\cpi win clima\Versione_10 allineamento con emanuela\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10 allineamento con emanuela\GENERATI\base.dat","79049","2010-07-14 13:34:04","E7F7DA07E9C573FA81A65776ED7E3D73B14E716C2E5A5256881E0A9244D5ADE2"
"2","origine\bmsistemi\drivep\prjs\cpi win clima\Versione_10\AggiornamentiV13\Carichi\database\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\AggiornamentiV13\Carichi\database\GENERATI\base.dat","79449","2011-05-30 16:06:40","280953C91D6561E69E310B984413C0E528418375CBE4A1C7D4139C38E1CAE189"
"6","origine\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\database\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\database\GENERATI\base.dat","55097","2008-02-20 15:35:18","3FFBEE43E69786B74FC0EEB6A7CDC921E776BBC41BA9748610E5D5FBAD7D451A"
"10","origine\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\database generati\Generati\base.dat","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\database generati\Generati\base.dat","6979","2006-06-27 15:01:14","5D65EF41A108541E5F6696237E2B64FD16B718BEFF18532AB60DFD0392D65591"
"17","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\AggiornamentiV13\Carichi\database\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\AggiornamentiV13\Carichi\database\GENERATI\base.dat","79218","2010-09-10 09:29:52","C7E2CA8DB12C4B72BA5135A087F9857E1A81017BDC2C64B1AB646BC355981BC1"
"23","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\CARICHI\database\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\CARICHI\database\GENERATI\base.dat","55097","2006-02-08 16:20:30","E8EE62C5CF3173297FD40C9DC59CCB4F00058E270DF8207A04C1BE0BA8F2A52E"
"12","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Copia di 3D\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Copia di 3D\GENERATI\base.dat","63984","2007-04-14 14:36:16","7AC24A7701E250401EB5ED5AB178699BBA1CAF00F65C8A05FC3BFE57E98335B0"
"20","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\progetto test con multitabelle\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\progetto test con multitabelle\GENERATI\base.dat","5773","2007-03-22 08:38:00","DDB4850F3BDBA3ADD9F2E7D16958F45836C2FF9D754DE1DF0959997DBB4D854A"
"10","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\database generati\Generati\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\database generati\Generati\base.dat","6979","2007-04-14 14:01:48","5D65EF41A108541E5F6696237E2B64FD16B718BEFF18532AB60DFD0392D65591"
"25","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\base.dat","85382","2009-10-26 08:41:00","FD111884C065A1FFA7EBBECD6D7495F481BCC3A96DE002138BEAC7A415855069"
"14","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI vecchio\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI vecchio\base.dat","97273","2010-10-12 13:36:46","B1958A26120E1D47D6A2E936A7A4CFD4004B0359FF5165EDCCE05BE6C8B5BA07"
"18","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI vecchio\climacad\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI vecchio\climacad\base.dat","93935","2010-05-12 09:24:02","CC0BA366EC1C03065F228BACF7D43B2D020DFC62FE6979A81E4D0B42BDD04197"
"9","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI vecchio\climaenergia\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI vecchio\climaenergia\base.dat","79285","2010-10-11 15:55:32","545E8C631725E03C640DE5693F2F1D795798EC6B555A3AF8E254C9EB5D594166"
