"GruppoContenuto","NumeroCollocazioni","Dimensione","SHA256","EsempioOriginale"
"1","1","97607","076B1B00157488DFEE4CEF296C538BA7FC243E7F8559C00D036D269B9848178E","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI\base.dat"
"2","2","79449","280953C91D6561E69E310B984413C0E528418375CBE4A1C7D4139C38E1CAE189","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\AggiornamentiV13\Carichi\database\GENERATI\base.dat"
"3","1","1155","2D22A8D5B7D87361C476779FE5A47614F6815F045A12F57E9F08335A5F555B23","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\Rebuli modificato CAD\compnuccio vecchio mandato lazzerini\base.dat"
"4","1","94106","33E870CC81F5F9A990A64B6759C5A7AA052655E4B5665BAA247D6024BB134BF6","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI\climacad\base.dat"
"5","2","1816","35257EDC659256E6CC7DC1EAD2AD50A82D11C3237B257BEAAB4A149FC5F30BB7","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\base.dat"
"6","1","55097","3FFBEE43E69786B74FC0EEB6A7CDC921E776BBC41BA9748610E5D5FBAD7D451A","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\database\GENERATI\base.dat"
"7","1","1287","41E9535107B2F5EC512CF4834B1B0B33A85B4811ADDD97ADF069724D23B09E0D","C:\DOCUMENTI\sd\sorgenti\bm-sd\Sun-Trace\generati\Base.dat"
"8","1","80766","4CF8E621B53723AC8AA61407F750FB5B149D85F8AC0FCCD45446E09AC2DAC93C","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\climaenergia\base.dat"
"9","2","79285","545E8C631725E03C640DE5693F2F1D795798EC6B555A3AF8E254C9EB5D594166","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI vecchio\climaenergia\base.dat"
"10","3","6979","5D65EF41A108541E5F6696237E2B64FD16B718BEFF18532AB60DFD0392D65591","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\database generati\Generati\base.dat"
"11","1","116","72B1B46A1CFE5D47DBE609960F7F46A5635C2F1AEC1AEFCAD46CC4503298DC2D","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\Rebuli modificato CAD\compnuccio vecchio mandato lazzerini\curve\base.dat"
"12","3","63984","7AC24A7701E250401EB5ED5AB178699BBA1CAF00F65C8A05FC3BFE57E98335B0","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Copia di 3D\GENERATI\base.dat"
"13","1","99222","A6FD9C6E2727456EBCCCC549576F59C7CC37DA4CDFA409F9BEAD1F3EDCF38775","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\base.dat"
"14","2","97273","B1958A26120E1D47D6A2E936A7A4CFD4004B0359FF5165EDCCE05BE6C8B5BA07","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI vecchio\base.dat"
"15","1","1112","B3D9978AAAFA18CFFC6420796A815C61FAD71FA6C2016F38C7492EE0DA76B13E","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\gestione\generati\Base.dat"
"16","4","65024","C24AFA4BB274A779DDC67DD4EF734D69EC3613B37794EC6BE1EF4CB6AE64BCDF","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI vecchio\salvataggio\base.dat"
"17","3","79218","C7E2CA8DB12C4B72BA5135A087F9857E1A81017BDC2C64B1AB646BC355981BC1","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\AggiornamentiV13\Carichi\database\GENERATI\base.dat"
"18","2","93935","CC0BA366EC1C03065F228BACF7D43B2D020DFC62FE6979A81E4D0B42BDD04197","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI vecchio\climacad\base.dat"
"19","1","94988","D3655E2A0D18C740424C40D24DC97CA9F09F8F461A3FA560C16C7484F79A9864","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\climacad\base.dat"
"20","3","5773","DDB4850F3BDBA3ADD9F2E7D16958F45836C2FF9D754DE1DF0959997DBB4D854A","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\progetto test con multitabelle\GENERATI\base.dat"
"21","2","680","E3CAD7D2CEACE7B43A600AAA542E81E97B87C4F22C4A2CD1D6F00698418C813D","C:\DOCUMENTI\sd\sorgenti\bm-sd\gestioneclienti\generati\base.dat"
"22","1","79049","E7F7DA07E9C573FA81A65776ED7E3D73B14E716C2E5A5256881E0A9244D5ADE2","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10 allineamento con emanuela\GENERATI\base.dat"
"23","3","55097","E8EE62C5CF3173297FD40C9DC59CCB4F00058E270DF8207A04C1BE0BA8F2A52E","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\CARICHI\database\GENERATI\base.dat"
"24","1","3099","EA388C2593AEA5AEAC69C5C92AB8DA7C717056B2084BD472C0FCC2C7F5D73E38","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\Rebuli modificato CAD\base.dat"
"25","2","85382","FD111884C065A1FFA7EBBECD6D7495F481BCC3A96DE002138BEAC7A415855069","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\base.dat"
